Background,Measure,Month,Region,Region Description,Snapshot Date,Year,Unrounded Count
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2020,1678
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2020,10448
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2020,3859
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2020,19824
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2020,4362
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2020,20137
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2020,4259
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2020,21333
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2020,5725
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2020,27428
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2020,3736
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2020,19632
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2020,3194
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2020,16417
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2020,2893
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2020,16530
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2020,2459
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2020,13825
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2020,4114
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2020,19455
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2020,4267
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2020,20819
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2020,3829
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2020,19151
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2021,3546
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2021,18620
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2021,4367
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2021,22666
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2021,5643
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2021,28370
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2021,3341
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2021,17527
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2021,3629
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2021,17637
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2021,4377
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2021,24109
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2021,4156
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2021,22904
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2021,3493
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2021,18527
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2021,3823
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2021,19826
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2021,5261
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2021,25436
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2021,5095
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2021,24122
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2021,4846
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2021,23693
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2022,3827
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2022,21385
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2022,4129
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2022,25432
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2022,4950
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2022,30619
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2022,3619
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2022,20316
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2022,3910
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2022,24056
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2022,4159
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2022,24955
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2022,4241
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2022,24125
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2022,3896
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2022,21067
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2022,3975
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2022,22734
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2022,5241
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2022,28187
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2022,4652
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2022,24768
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2022,4329
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2022,24101
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2023,3772
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2023,22500
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2023,3918
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2023,25072
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2023,4347
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2023,25073
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2023,3645
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2023,22218
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2023,3948
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2023,23672
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2023,4073
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2023,25922
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2023,4149
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2023,25621
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2023,3689
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2023,23308
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2023,4298
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2023,26297
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2023,4515
Background on the data,,November,British Columbia (total),in British Columbia (total),2025-03-31,2023,25485
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2023,4416
Background on the data,,October,British Columbia (total),in British Columbia (total),2025-03-31,2023,25832
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2023,4336
Background on the data,,September,British Columbia (total),in British Columbia (total),2025-03-31,2023,25159
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2024,3895
Background on the data,,April,British Columbia (total),in British Columbia (total),2025-03-31,2024,23648
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2024,4049
Background on the data,,August,British Columbia (total),in British Columbia (total),2025-03-31,2024,25547
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2024,4486
Background on the data,,December,British Columbia (total),in British Columbia (total),2025-03-31,2024,25768
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2024,3485
Background on the data,,February,British Columbia (total),in British Columbia (total),2025-03-31,2024,21808
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2024,4413
Background on the data,,January,British Columbia (total),in British Columbia (total),2025-03-31,2024,28082
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2024,4391
Background on the data,,July,British Columbia (total),in British Columbia (total),2025-03-31,2024,27512
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2024,4045
Background on the data,,June,British Columbia (total),in British Columbia (total),2025-03-31,2024,25549
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2024,3727
Background on the data,,March,British Columbia (total),in British Columbia (total),2025-03-31,2024,23208
Background on the data,,May,British Columbia (total),in British Columbia (total),2025-03-31,2024,4181
